ADFONIC,,,,,,OpenX Parent Category,,Publisher: Ad Attribute,
ID,NAME,PARENT_ID,CATEGORY_ORDER,IAB_ID,CHANNEL_ID,OpenX Parent Category,OpenX Parent Category ID,Open X Ad Attribute,OpenX Ad Attribute ID
405,Adventure Travel,63,0,IAB20-1,3,Travel,28,,
406,Africa,63,1,IAB20-2,3,Travel,28,,
407,Air Travel,63,2,IAB20-3,3,Travel,28,,
408,Australia & New Zealand,63,3,IAB20-4,3,Travel,28,,
409,Bed & Breakfasts,63,4,IAB20-5,3,Travel,28,,
410,Budget Travel,63,5,IAB20-6,3,Travel,28,,
413,Camping,63,8,IAB20-9,3,Travel,28,,
414,Canada,63,9,IAB20-10,3,Travel,28,,
415,Caribbean,63,10,IAB20-11,3,Travel,28,,
416,Cruises,63,11,IAB20-12,3,Travel,28,,
417,Eastern Europe,63,12,IAB20-13,3,Travel,28,,
418,Europe,63,13,IAB20-14,3,Travel,28,,
419,France,63,14,IAB20-15,3,Travel,28,,
223,French Cuisine,84,10,IAB8-11,3,Travel,28,,
420,Greece,63,15,IAB20-16,3,Travel,28,,
421,Honeymoon/Getaways,63,16,IAB20-17,3,Travel,28,,
422,Hotels,63,17,IAB20-18,3,Travel,28,,
423,Italy,63,18,IAB20-19,3,Travel,28,,
424,Japan,63,19,IAB20-20,3,Travel,28,,
425,Mexico & Central America,63,20,IAB20-21,3,Travel,28,,
426,National Parks,63,21,IAB20-22,3,Travel,28,,
76,Navigation,385,6,ADF-090,4,Travel,28,,
352,Skiing,61,34,IAB17-35,4,Travel,28,,
427,South America,63,22,IAB20-23,3,Travel,28,,
428,Spas,63,23,IAB20-24,3,Travel,28,,
138,Telecommuting,129,8,IAB4-9,4,Travel,28,,
429,Theme Parks,63,24,IAB20-25,3,Travel,28,,
63,Travel,,19,IAB20,3,Travel,28,,
430,Traveling with Kids,63,25,IAB20-26,3,Travel,28,,
431,United Kingdom,63,26,IAB20-27,3,Travel,28,,
208,Smoking Cessation,55,42,IAB7-41,3,Tobacco and Smoking,26,Tobacco,15
448,*iOS Convertors,447,6,ADF-056,6,Technology & Computing,18,,
368,3-D Graphics,62,0,IAB19-1,4,Technology & Computing,18,,
371,C/C++,62,3,IAB19-4,4,Technology & Computing,18,,
374,Computer Certification,62,6,IAB19-7,4,Technology & Computing,18,,
375,Computer Networking,62,7,IAB19-8,4,Technology & Computing,18,,
376,Computer Peripherals,62,8,IAB19-9,4,Technology & Computing,18,,
377,Computer Reviews,62,9,IAB19-10,4,Technology & Computing,18,,
378,Data Centers,62,10,IAB19-11,4,Technology & Computing,18,,
379,Databases,62,11,IAB19-12,4,Technology & Computing,18,,
380,Desktop Publishing,62,12,IAB19-13,4,Technology & Computing,18,,
381,Desktop Video,62,13,IAB19-14,4,Technology & Computing,18,,
386,Java,62,18,IAB19-19,4,Technology & Computing,18,,
387,JavaScript,62,19,IAB19-20,4,Technology & Computing,18,,
388,Linux,62,20,ADF-026,4,Technology & Computing,18,,
389,Mac OS,62,21,ADF-036,4,Technology & Computing,18,,
390,Mac Support,62,22,IAB19-21,4,Technology & Computing,18,,
128,Metals,74,11,IAB3-12,4,Technology & Computing,18,,
395,Palmtops/PDAs,62,27,IAB19-26,4,Technology & Computing,18,,
396,PC Support,62,28,IAB19-27,4,Technology & Computing,18,,
62,Technology & Computing,,18,IAB19,4,Technology & Computing,18,,
400,Unix,62,32,IAB19-31,4,Technology & Computing,18,,
401,Visual Basic,62,33,IAB19-32,4,Technology & Computing,18,,
404,Windows,62,37,IAB19-36,4,Technology & Computing,18,,
49,Dating,291,0,IAB14-1,3,Social Networking,8,Dating/Romance,3
60,Social Networking,385,0,ADF-020,5,Social Networking,8,,
366,Clothing,75,4,IAB18-5,3,Shopping,6,,
438,Comparison Engines,59,2,IAB22-3,3,Shopping,6,,
364,Fashion,75,2,IAB18-3,3,Shopping,6,,
365,Jewelry,75,3,IAB18-4,3,Shopping,6,,
106,Luxury,48,12,IAB2-13,3,Shopping,6,,
59,Shopping,,21,IAB22,3,Shopping,6,,
75,Style & Fashion,,17,IAB18,3,Shopping,6,,
301,Biology,299,1,IAB15-2,3,Science,24,,
119,Biotech / Biomedical,74,2,IAB3-3,4,Science,24,,
302,Chemistry,299,2,IAB15-3,3,Science,24,,
305,Physics,299,5,IAB15-6,3,Science,24,,
299,Science,,14,IAB15,3,Science,24,,
306,Space/Astronomy,299,6,IAB15-7,3,Science,24,,
439,Alternative Religions,85,0,IAB23-1,3,Religion and Spirituality,34,Religious,9
440,Atheism/Agnosticism,85,1,IAB23-2,3,Religion and Spirituality,34,Religious,9
441,Buddhism,85,2,IAB23-3,3,Religion and Spirituality,34,Religious,9
442,Catholicism,85,3,IAB23-4,3,Religion and Spirituality,34,Religious,9
443,Christianity,85,4,IAB23-5,3,Religion and Spirituality,34,Religious,9
444,Hinduism,85,5,IAB23-6,3,Religion and Spirituality,34,Religious,9
445,Latter-Day Saints,85,6,IAB23-9,3,Religion and Spirituality,34,Religious,9
446,Pagan/Wiccan,85,7,IAB23-10,3,Religion and Spirituality,34,Religious,9
85,Religion & Spirituality,,22,IAB23,3,Religion and Spirituality,34,Religious,9
78,Reference,73,0,ADF-012,1,Reference & Directory,29,,
311,Aquariums,310,0,IAB16-1,3,Pets,16,,
312,Birds,310,1,IAB16-2,3,Pets,16,,
313,Cats,310,2,IAB16-3,3,Pets,16,,
314,Dogs,310,3,IAB16-4,3,Pets,16,,
315,Large Animals,310,4,IAB16-5,3,Pets,16,,
310,Pets,,15,IAB16,3,Pets,16,,
