OpenX Id,Open X Name,OpenX Parent_category_id,OpenX Parent Category Name,IAB/ADF Category Name,IAB/ADF ID
100,Adult Products,1,Adult,Illegal Content / XXX,IAB25
101,Dating and Escort Services,1,Adult,Illegal Content / XXX,IAB25
102,Erotic Art,1,Adult,Illegal Content / XXX,IAB25
103,Exotic Dancing,1,Adult,Illegal Content / XXX,IAB25
106,Literature & Fan Fiction,1,Adult,Illegal Content / XXX,IAB25
107,Phone Sex,1,Adult,Illegal Content / XXX,IAB25
108,Pornography,1,Adult,Illegal Content / XXX,IAB25
109,Swingers,1,Adult,Illegal Content / XXX,IAB25
1,Adult,1,Adult,Illegal Content / XXX,IAB25
204,Books & Literature,2,Arts & Entertainment,Arts & Entertainment,IAB1
201,Celebrities,2,Arts & Entertainment,Arts & Entertainment,IAB1
202,Events & Tickets,2,Arts & Entertainment,Arts & Entertainment,IAB1
219,Fine Arts,2,Arts & Entertainment,Arts & Entertainment,IAB1
205,Movies,2,Arts & Entertainment,Arts & Entertainment,IAB1
203,Music,2,Arts & Entertainment,Arts & Entertainment,IAB1
213,Performing Arts,2,Arts & Entertainment,Arts & Entertainment,IAB1
214,Radio,2,Arts & Entertainment,Arts & Entertainment,IAB1
217,Television,2,Arts & Entertainment,Arts & Entertainment,IAB1
220,Video,2,Arts & Entertainment,Arts & Entertainment,IAB1
2,Arts & Entertainment,2,Arts & Entertainment,Arts & Entertainment,IAB1
304,Auto Parts,3,Automotive,Automotive,IAB2
305,Auto Repair,3,Automotive,Automotive,IAB2
313,Automotive News,3,Automotive,Automotive,IAB2
303,Buying/Selling Cars,3,Automotive,Automotive,IAB2
307,Car Enthusiasts,3,Automotive,Automotive,IAB2
302,Certified Pre-Owned,3,Automotive,Automotive,IAB2
318,Diesel Vehicles,3,Automotive,Automotive,IAB2
319,Electric Vehicles,3,Automotive,Automotive,IAB2
320,Motor Homes & Trailers,3,Automotive,Automotive,IAB2
311,Motorcycles,3,Automotive,Automotive,IAB2
301,Off-Road Vehicles,3,Automotive,Automotive,IAB2
321,Performance Vehicles,3,Automotive,Automotive,IAB2
322,Pickups,3,Automotive,Automotive,IAB2
323,Road-Side Assistance,3,Automotive,Automotive,IAB2
317,Trucks & Accessories,3,Automotive,Automotive,IAB2
324,Vintage Cars,3,Automotive,Automotive,IAB2
3,Automotive,3,Automotive,Automotive,IAB2
414,Advertising,4,Business,Business,IAB3
415,Agriculture,4,Business,Business,IAB3
416,Biotech/Biomedical,4,Business,Business,IAB3
417,Business Software,4,Business,Business,IAB3
418,Construction,4,Business,Business,IAB3
419,Forestry,4,Business,Business,IAB3
420,Government,4,Business,Business,IAB3
421,Green Solutions,4,Business,Business,IAB3
422,Human Resources,4,Business,Business,IAB3
423,Logistics,4,Business,Business,IAB3
401,Marketing,4,Business,Business,IAB3
424,Metals,4,Business,Business,IAB3
406,Patents & Inventions,4,Business,Business,IAB3
425,Productivity,4,Business,Business,IAB3
4,Business,4,Business,Business,IAB3
501,Career Advice,5,Careers,Careers,IAB4
502,Career Planning,5,Careers,Careers,IAB4
506,Financial Aid,5,Careers,Careers,IAB4
507,Job Fairs,5,Careers,Careers,IAB4
504,Job Search,5,Careers,Careers,IAB4
508,Nursing,5,Careers,Careers,IAB4
509,Resume Writing/Advice,5,Careers,Careers,IAB4
510,Scholarships,5,Careers,Careers,IAB4
511,Telecommuting,5,Careers,Careers,IAB4
505,US Military,5,Careers,Careers,IAB4
5,Careers,5,Careers,Careers,IAB4
603,Auctions,6,Shopping,Shopping,IAB22
624,Classifieds,6,Shopping,Shopping,IAB22
606,Comparison,6,Shopping,Shopping,IAB22
625,Contests & Freebies,6,Shopping,Shopping,IAB22
608,Coupons,6,Shopping,Shopping,IAB22
628,Engines,6,Shopping,Shopping,IAB22
613,Online Retailers,6,Shopping,Shopping,IAB22
6,Shopping,6,Shopping,Shopping,IAB22
703,Cameras & Camcorders,7,Electronics,Technology & Computing,IAB19
701,Computer Peripherals,7,Electronics,Technology & Computing,IAB19
705,Computers/Laptops,7,Electronics,Technology & Computing,IAB19
712,Electronics News and Reviews,7,Electronics,Technology & Computing,IAB19
702,Entertainment Systems,7,Electronics,Technology & Computing,IAB19
706,Gadgets,7,Electronics,Technology & Computing,IAB19
713,Home Video/DVD,7,Electronics,Technology & Computing,IAB19
714,Palmtops/PDAS,7,Electronics,Technology & Computing,IAB19
7,Electronics,7,Electronics,Technology & Computing,IAB19
804,Social apps,8,Social Networking,Social Networking,ADF-020
803,Social sites,8,Social Networking,Social Networking,ADF-020
8,Social Networking,8,Social Networking,Social Networking,ADF-020
915,Adoption,9,Family & Parenting,Family & Parenting,IAB6
916,Babies & Toddlers,9,Family & Parenting,Family & Parenting,IAB6
917,Daycare/Preschool,9,Family & Parenting,Family & Parenting,IAB6
918,Eldercare,9,Family & Parenting,Family & Parenting,IAB6
919,Family Internet,9,Family & Parenting,Family & Parenting,IAB6
920,Parenting K-6 kids,9,Family & Parenting,Family & Parenting,IAB6
921,Parenting Teens,9,Family & Parenting,Family & Parenting,IAB6
922,Pregnancy,9,Family & Parenting,Family & Parenting,IAB6
923,Special Needs Kids,9,Family & Parenting,Family & Parenting,IAB6
9,Family & Parenting,9,Family & Parenting,Family & Parenting,IAB6
1001,Blunt Weapons,10,Firearms and Weapons,Illegal Content / XXX,IAB25
1002,Edged Weapons,10,Firearms and Weapons,Illegal Content / XXX,IAB25
1003,Non-Lethal Weapons,10,Firearms and Weapons,Illegal Content / XXX,IAB25
1004,Projectile Weapons,10,Firearms and Weapons,Illegal Content / XXX,IAB25
10,Firearms and Weapons,10,Firearms and Weapons,Illegal Content / XXX,IAB25
1112,American Cuisine,11,Food & Drink,Food & Drink,IAB8
1113,Barbecues & Grilling,11,Food & Drink,Food & Drink,IAB8
1114,Cajun/Creole,11,Food & Drink,Food & Drink,IAB8
1115,Chinese Cuisine,11,Food & Drink,Food & Drink,IAB8
1101,Cocktails/Beer,11,Food & Drink,Food & Drink,IAB8
1108,Coffee/Tea/Soft Drinks,11,Food & Drink,Food & Drink,IAB8
1103,Cooking & Recipes,11,Food & Drink,Food & Drink,IAB8
1105,Desserts & Baking,11,Food & Drink,Food & Drink,IAB8
1109,Dining Out,11,Food & Drink,Food & Drink,IAB8
1116,French Cuisine,11,Food & Drink,Food & Drink,IAB8
1117,Healthy/LowFat,11,Food & Drink,Food & Drink,IAB8
1118,Italian Cuisine,11,Food & Drink,Food & Drink,IAB8
1119,Japanese Cuisine,11,Food & Drink,Food & Drink,IAB8
1120,Korean Cuisine,11,Food & Drink,Food & Drink,IAB8
1121,Mexican Cuisine,11,Food & Drink,Food & Drink,IAB8
1122,Middle Eastern Cuisine,11,Food & Drink,Food & Drink,IAB8
1104,Other Cuisines,11,Food & Drink,Food & Drink,IAB8
1123,Vegan,11,Food & Drink,Food & Drink,IAB8
1110,Vegetarian,11,Food & Drink,Food & Drink,IAB8
1111,Wine,11,Food & Drink,Food & Drink,IAB8
11,Food & Drink,11,Food & Drink,Food & Drink,IAB8
1201,Casinos,12,Gambling,Gambling,ADF-042
1202,Lotteries,12,Gambling,Gambling,ADF-042
1203,Online Gambling,12,Gambling,Gambling,ADF-042
1204,Sports Betting,12,Gambling,Gambling,ADF-042
12,Gambling,12,Gambling,Gambling,ADF-042
1301,Commentary,13,"Government, Law & Politics",Law Government & Politics,IAB11
1309,Immigration,13,"Government, Law & Politics",Law Government & Politics,IAB11
1310,International Government Resources,13,"Government, Law & Politics",Law Government & Politics,IAB11
1302,Legal Issues,13,"Government, Law & Politics",Law Government & Politics,IAB11
1307,Politics,13,"Government, Law & Politics",Law Government & Politics,IAB11
1306,U.S. Government Resources,13,"Government, Law & Politics",Law Government & Politics,IAB11
13,"Government, Law & Politics",13,"Government, Law & Politics",Law Government & Politics,IAB11
1420,Alternative Medicine,14,Health & Fitness,Health & Fitness,IAB7
1421,Cancer,14,Health & Fitness,Health & Fitness,IAB7
1422,Children's Health,14,Health & Fitness,Health & Fitness,IAB7
1423,Chronic Pain,14,Health & Fitness,Health & Fitness,IAB7
1424,Cold & Flu,14,Health & Fitness,Health & Fitness,IAB7
1425,Cosmetic Surgery/Procedures,14,Health & Fitness,Health & Fitness,IAB7
1426,Deafness,14,Health & Fitness,Health & Fitness,IAB7
1403,Dental Care,14,Health & Fitness,Health & Fitness,IAB7
1418,Dermatology,14,Health & Fitness,Health & Fitness,IAB7
1427,Disorders,14,Health & Fitness,Health & Fitness,IAB7
